Title,Author,Google Books Average Rating,Google Books Ratings Count,ISBN,NYT Best Seller Rank,NYT Review Count
Me Talk Pretty One Day,David Sedaris,4.5,20,9780316073653,N/A,0
Furiously Happy,Jenny Lawson,3,2,9781250077011,N/A,0
Becoming,Michelle Obama,N/A,N/A,9781524763145,N/A,0
Madam Secretary,Madeleine Albright,N/A,N/A,9780062265470,N/A,0
I'll Scream Later,Marlee Matlin,5,1,9781439171516,N/A,0
Permanent Record,Edward Snowden,5,4,9781250237248,N/A,0
Can't Hurt Me,David Goggins,4,3,9781544512266,N/A,0
Elon Musk,Ashlee Vance,4.5,6,9780062301260,N/A,0
Beyond Possible (Young Readers' Edition),Nims Purja,N/A,N/A,9781426374562,N/A,0
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,5,1,9780393355680,N/A,0
Alone on the Wall (Expanded Edition),Alex Honnold,N/A,N/A,9780393356915,N/A,0
Broken Horses,Brandi Carlile,N/A,N/A,9780593237267,N/A,0
Maybe We'll Make It,Margo Price,N/A,N/A,9781477326275,N/A,0
Crying in H Mart,Michelle Zauner,4,1,9780525657750,N/A,0
Dear Girls,Ali Wong,N/A,N/A,9780525508847,N/A,0
I'm Glad My Mom Died,Jennette McCurdy,4,10,9781982185848,N/A,0
Everything/Nothing/Someone,Alice Carrière,N/A,N/A,9781954118300,N/A,0
Uncle of the Year,Andrew Rannells,N/A,N/A,9780593443446,N/A,0
The Stranger Beside Me,Ann Rule,N/A,N/A,9781622095841,N/A,0
I'll Be Gone in the Dark,Michelle McNamara,N/A,N/A,9780062916310,N/A,0
The Devil In The White City,Erik Larson,4,6,9781409044604,N/A,0
Under the Banner of Heaven,Jon Krakauer,3.5,31,9781400078998,N/A,0
The Guest List,Lucy Foley,N/A,N/A,9780062988959,N/A,0
The Case Book of Sherlock Holmes,Arthur Conan Doyle,N/A,N/A,N/A,N/A,0
Reminders of Him,Colleen Hoover,N/A,N/A,9781542025607,N/A,0
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.5,3,9781501139239,N/A,0
The Psychopath Test,Jon Ronson,N/A,N/A,9781594485756,N/A,0
The Housemaid,Amma Darko,N/A,N/A,9780435910082,N/A,0
Sleeping Freshmen Never Lie,David Lubar,N/A,N/A,9780142407806,N/A,0
Verity,Colleen Hoover,5,1,9781538724743,N/A,0
The Silent Patient,Alex Michaelides,4,10,9781250301710,N/A,0
Mad Honey,"Jodi Picoult, Jennifer Finney Boylan",N/A,N/A,9781984818386,N/A,0
It's Always the Husband,Michele Campbell,N/A,N/A,9781250081827,N/A,0
Hyperion,Dan Simmons,5,1,9780307781888,N/A,0
Rendezvous With Rama,Arthur Charles Clarke,4,58,9780553287899,N/A,0
Endymion,Dan Simmons,N/A,N/A,9780307781918,N/A,0
Nightfall,"Jake Halpern, Peter Kujawinski",3,4,9780698405561,N/A,0
The Martian Chronicles,Ray Bradbury,5,1,9781451678192,N/A,0
Neverwhere,Neil Gaiman,4,60,9780060557812,N/A,0
Elantris,Brandon Sanderson,4,1,9780765381026,N/A,0
The Name of the Wind,Patrick Rothfuss,N/A,N/A,9780756405892,N/A,0
A Court of Silver Flames,Sarah J. Maas,N/A,N/A,9781635576191,N/A,0
The Adventures of Amina al-Sirafi,Shannon Chakraborty,N/A,N/A,9780062963529,N/A,0
Fantastic Beasts and Where to Find Them,J K. ROFLING,N/A,N/A,9781389679070,N/A,0
The Jasad Heir,Sara Hashem,N/A,N/A,9780316477963,N/A,0
The Wicked King,Holly Black,N/A,N/A,9780316310338,N/A,0
A Wrinkle in Time,Madeleine L'Engle,4,84,9781429915649,N/A,0
The Martian,Andy Weir,4.5,40,9780804139038,N/A,0
Project Hail Mary,Andy Weir,3,1,9780593135228,N/A,0
Saga,N/A,N/A,N/A,9781607066019,N/A,0
The Illustrated Hitchhiker's Guide to the Galaxy,Douglas Adams,N/A,N/A,9780517158579,N/A,0
Do Androids Dream of Electric Sheep?,Philip K. Dick,N/A,N/A,9781615233595,N/A,0
Ender's Game,Orson Scott Card,4.5,3,9780812550702,N/A,0
Frankenstein,Mary Shelley,N/A,N/A,9780486784755,N/A,0
A History of the World in 100 Objects,Neil MacGregor,5,1,9780141966830,N/A,0
Invisible Women,Caroline Criado Perez,5,4,9781683353140,N/A,0
Cork Dork,Bianca Bosker,4,1,9780698195905,N/A,0
A Briefer History of Time,"Stephen Hawking, Leonard Mlodinow",1,5,9780553385465,N/A,0
Atomic Habits,James Clear,4,9,9780735211308,N/A,0
Algorithms to Live By,"Brian Christian, Tom Griffiths",5,2,9781627790369,N/A,0
Never Split the Difference,"Chris Voss, Tahl Raz",5,1,9780062407818,N/A,0
The Data Warehouse Toolkit,"Ralph Kimball, Margy Ross",N/A,N/A,9781118732281,N/A,0
SPQR: A History of Ancient Rome,Mary Beard,N/A,N/A,9781631491252,N/A,0
The Underground Railroad,Philip Wolny,N/A,N/A,9780823940080,N/A,0
